,ME1,ME2,ME3,SI1,SI2,SI3,PB1,PB2,PB3,AtTI1,AtTI2,AtTI3,PU1,PU2,PU3,PU4,PEoU1,PEoU2,PEoU3,PEoU4,BI
0,5,3.0,3,3,5.0,3.0,4.0,3.0,3,4,4.0,4,3,3.0,3.0,3.0,4,4,4,4,4
1,4,4.0,4,3,5.0,5.0,5.0,2.0,3,2,3.0,5,4,3.0,2.0,4.0,4,5,4,5,4
2,4,4.0,2,3,4.0,2.0,3.0,4.0,4,4,4.0,4,3,3.0,3.0,4.0,4,4,4,4,3
3,5,5.0,5,4,5.0,3.0,3.0,2.0,3,4,5.0,5,3,4.0,2.0,3.0,2,3,3,3,4
4,5,5.0,3,3,4.0,4.0,4.0,4.0,4,3,3.0,3,4,4.0,4.0,4.0,4,4,4,4,4
5,4,3.0,3,3,4.0,4.0,4.0,3.0,3,4,4.0,3,3,3.0,4.0,4.0,3,4,4,3,4
6,4,3.0,3,1,2.0,3.0,4.0,2.0,3,4,4.0,3,4,4.0,4.0,5.0,3,3,4,3,4
7,5,5.0,3,4,2.0,4.0,3.0,3.0,4,4,4.0,3,4,4.0,4.0,3.0,3,3,3,3,4
8,4,1.0,1,1,1.0,4.0,1.0,3.0,3,5,5.0,5,4,4.0,4.0,4.0,3,3,3,3,3
9,3,3.0,3,3,3.0,3.0,3.0,3.0,3,4,4.0,4,2,3.0,2.0,4.0,2,3,4,2,5
10,4,4.0,3,4,4.0,4.0,2.0,3.0,4,4,5.0,4,3,3.0,3.0,4.0,4,4,4,3,3
11,3,4.0,3,4,5.0,3.0,3.0,3.0,3,4,5.0,3,4,3.0,3.0,4.0,3,3,3,3,3
12,3,3.0,2,3,4.0,4.0,4.0,4.0,4,4,4.0,4,4,4.0,4.0,4.0,4,4,4,4,4
13,4,5.0,4,2,3.0,4.0,4.0,1.0,3,4,4.0,4,4,3.0,3.0,4.0,3,3,4,4,4
14,5,3.0,1,1,1.0,1.0,3.0,1.0,1,2,5.0,1,1,1.0,1.0,1.0,3,2,1,5,1
15,4,4.0,3,2,4.0,4.0,4.0,2.0,4,2,4.0,2,4,3.0,4.0,5.0,2,3,4,4,4
16,5,5.0,2,3,3.0,2.0,2.0,4.0,2,3,4.0,4,2,4.0,2.0,4.0,2,4,2,4,2
17,5,5.0,4,2,4.0,4.0,5.0,3.0,4,3,4.0,4,5,5.0,5.0,5.0,4,4,5,5,5
18,3,4.0,3,4,5.0,5.0,4.0,4.0,3,2,4.0,4,5,4.0,5.0,5.0,3,4,5,4,3
19,4,4.0,1,3,4.0,4.0,2.0,4.0,3,3,4.0,4,4,4.0,4.0,4.0,2,3,2,4,4
20,5,5.0,4,4,4.0,4.0,5.0,4.0,4,4,4.0,3,4,4.0,4.0,4.0,5,4,4,4,5
21,5,4.0,3,2,2.0,4.0,4.0,1.0,1,2,5.0,3,3,3.0,4.0,4.0,4,3,5,2,5
22,4,5.0,2,2,4.0,4.0,4.0,3.0,4,4,5.0,3,3,4.0,4.0,3.0,4,3,4,4,4
23,1,3.0,3,3,4.0,2.0,5.0,4.0,5,5,5.0,1,5,4.0,5.0,5.0,3,4,4,4,3
24,5,3.0,2,3,3.0,3.0,4.0,4.0,4,4,5.0,5,5,5.0,5.0,4.0,4,2,4,4,5
25,4,2.0,4,4,5.0,5.0,2.0,2.0,4,5,5.0,5,4,4.0,4.0,5.0,4,4,4,4,5
26,4,3.0,4,4,5.0,5.0,2.0,1.0,1,5,5.0,4,5,4.0,3.0,3.0,5,5,4,4,5
27,5,4.0,3,3,5.0,4.0,3.0,2.0,4,5,5.0,5,5,5.0,5.0,5.0,5,1,4,4,5
28,3,4.0,3,3,4.0,4.0,4.0,2.0,4,2,4.0,3,4,4.0,4.0,4.0,3,3,4,4,4
29,4,4.0,4,3,5.0,5.0,5.0,4.0,5,3,5.0,5,5,5.0,4.0,5.0,4,4,4,4,4
30,4,3.0,2,4,4.0,4.0,4.0,3.0,3,4,4.0,3,4,3.0,4.0,4.0,3,2,3,3,4
31,3,,4,1,,,,,5,1,,1,5,,,,1,1,3,1,4
32,3,4.0,4,4,4.0,4.0,3.0,2.0,3,2,5.0,4,4,4.0,4.0,3.0,4,2,4,4,4
33,5,4.0,3,4,4.0,3.0,3.0,3.0,4,3,3.0,3,4,4.0,4.0,3.0,3,3,5,4,4
34,4,4.0,3,4,4.0,4.0,4.0,4.0,4,5,5.0,5,4,4.0,4.0,5.0,4,4,5,4,5
35,4,3.0,4,4,3.0,2.0,4.0,2.0,3,4,4.0,3,4,3.0,3.0,4.0,4,4,4,4,5
36,4,3.0,2,2,4.0,5.0,2.0,2.0,3,5,4.0,4,4,4.0,4.0,4.0,5,5,5,3,5
